,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-05-21,4.45,4.65,4.4,4.44,4.44,1971900,,,,0
2020-05-22,4.46,4.49,4.13,4.18,4.18,2379900,,,,0
2020-05-23,4.46,4.49,4.13,4.18,4.18,2379900,,,,0
2020-05-24,4.46,4.49,4.13,4.18,4.18,2379900,,,,0
2020-05-25,4.46,4.49,4.13,4.18,4.18,2379900,,,,0
2020-05-26,4.34,4.61,4.33,4.42,4.42,3545700,,,,0
2020-05-27,4.57,4.71,4.36,4.69,4.69,3146600,1.0,-0.40215,0.0,2
2020-05-28,4.75,4.76,4.3,4.33,4.33,2183900,,,,0
2020-05-29,4.33,4.42,4.05,4.06,4.06,3973500,,,,0
2020-05-30,4.33,4.42,4.05,4.06,4.06,3973500,1.0,0.1714,0.0,1
2020-05-31,4.33,4.42,4.05,4.06,4.06,3973500,,,,0
2020-06-01,4.12,4.36,4.02,4.13,4.13,2611600,,,,0
2020-06-02,4.27,4.31,4.06,4.18,4.18,2369400,,,,0
2020-06-03,4.24,4.52,4.2,4.44,4.44,3037400,,,,0
2020-06-04,4.44,4.72,4.37,4.47,4.47,3514300,2.0,0.6705,0.8995,1
2020-06-05,4.29,4.41,4.09,4.14,4.14,6274400,,,,0
2020-06-06,4.29,4.41,4.09,4.14,4.14,6274400,1.0,0.9998,0.0,1
2020-06-07,4.29,4.41,4.09,4.14,4.14,6274400,,,,0
2020-06-08,4.28,5.14,4.27,5.01,5.01,10133700,,,,0
2020-06-09,5.0,5.0,4.55,4.96,4.96,8073400,,,,0
2020-06-10,4.78,5.53,4.68,5.07,5.07,10606400,,,,0
2020-06-11,4.64,4.9,4.18,4.37,4.37,6236000,,,,0
2020-06-12,4.6,4.78,4.39,4.72,4.72,4378200,,,,0
2020-06-13,4.6,4.78,4.39,4.72,4.72,4378200,91.0,0.05650000000000005,-0.10115,2
2020-06-14,4.6,4.78,4.39,4.72,4.72,4378200,,,,0
2020-06-15,4.5,4.77,4.42,4.69,4.69,3909000,,,,0
2020-06-16,4.95,4.95,4.51,4.64,4.64,3121300,,,,0
2020-06-17,4.54,4.83,4.53,4.76,4.76,3593500,4.5,-0.3087,0.2769,2
2020-06-18,4.67,4.95,4.65,4.95,4.95,3423800,5.0,0.9695,0.0,1
2020-06-19,4.95,5.08,4.69,4.88,4.88,7366600,1.0,0.9664,0.0,1
2020-06-20,4.95,5.08,4.69,4.88,4.88,7366600,,,,0
2020-06-21,4.95,5.08,4.69,4.88,4.88,7366600,,,,0
2020-06-22,4.79,4.95,4.72,4.87,4.87,3178900,,,,0
2020-06-23,4.95,4.99,4.8,4.83,4.83,3205400,,,,0
2020-06-24,4.83,4.84,4.38,4.41,4.41,2976200,,,,0
2020-06-25,4.33,4.54,4.3,4.46,4.46,2450800,,,,0
2020-06-26,4.48,4.5,4.27,4.35,4.35,3801200,,,,0
